name,abbreviation,population,area,capital,admission_date
Delaware,DE,989948,6446,Dover,1787-12-07
Pennsylvania,PA,13002700,119280,Harrisburg,1787-12-12
New Jersey,NJ,9288994,22591,Trenton,1787-12-18
Georgia,GA,10711908,153910,Atlanta,1788-01-02
Connecticut,CT,3605944,14357,Hartford,1788-01-09
Massachusetts,MA,7029917,27336,Boston,1788-02-06
Maryland,MD,6177224,32131,Annapolis,1788-04-28
South Carolina,SC,5118425,82933,Columbia,1788-05-23
New Hampshire,NH,1377529,24214,Concord,1788-06-21
Virginia,VA,8631393,110787,Richmond,1788-06-25
New York,NY,20201249,141297,Albany,1788-07-26
North Carolina,NC,10439388,139391,Raleigh,1789-11-21
Rhode Island,RI,1097379,4001,Providence,1790-05-29
Vermont,VT,643077,24906,Montpelier,1791-03-04
Kentucky,KY,4505836,104656,Frankfort,1792-06-01
Tennessee,TN,6910840,109153,Nashville,1796-06-01
Ohio,OH,11799448,116098,Columbus,1803-03-01
Louisiana,LA,4657757,135659,Baton Rouge,1812-04-30
Indiana,IN,6785528,94326,Indianapolis,1816-12-11
Mississippi,MS,2961279,125438,Jackson,1817-12-10
Illinois,IL,12812508,149995,Springfield,1818-12-03
Alabama,AL,5024279,135767,Montgomery,1819-12-14
Maine,ME,1362359,91633,Augusta,1820-03-15
Missouri,MO,6154913,180540,Jefferson City,1821-08-10
Arkansas,AR,3011524,137732,Little Rock,1836-06-15
Michigan,MI,10077331,250487,Lansing,1837-01-26
Florida,FL,21538187,170312,Tallahassee,1845-03-03
Texas,TX,29145505,695662,Austin,1845-12-29
Iowa,IA,3190369,145746,Des Moines,1846-12-28
Wisconsin,WI,5893718,169635,Madison,1848-05-29
California,CA,39538223,423967,Sacramento,1850-09-09
Minnesota,MN,5706494,225163,St. Paul,1858-05-11
Oregon,OR,4237256,254799,Salem,1859-02-14
Kansas,KS,2937880,213100,Topeka,1861-01-29
West Virginia,WV,1793716,62756,Charleston,1863-06-20
Nevada,NV,3104614,286380,Carson City,1864-10-31
Nebraska,NE,1961504,200330,Lincoln,1867-03-01
Colorado,CO,5773714,269601,Denver,1876-08-01
North Dakota,ND,779094,183108,Bismarck,1889-11-02
South Dakota,SD,886667,199729,Pierre,1889-11-02
Montana,MT,1084225,380831,Helena,1889-11-08
Washington,WA,7705281,184661,Olympia,1889-11-11
Idaho,ID,1839106,216443,Boise,1890-07-03
Wyoming,WY,576851,253335,Cheyenne,1890-07-10
Utah,UT,3271616,219882,Salt Lake City,1896-01-04
Oklahoma,OK,3959353,181037,Oklahoma City,1907-11-16
New Mexico,NM,2117522,314917,Santa Fe,1912-01-06
Arizona,AZ,7151502,295234,Phoenix,1912-02-14
Alaska,AK,733391,1723337,Juneau,1959-01-03
Hawaii,HI,1455271,28313,Honolulu,1959-08-21
