1,John Adams,MA,Federalist,George Washington,53,1735-10-30,1789-04-21
2,Thomas Jefferson,VA,Democratic-Republican,John Adams,53,1743-04-13,1797-03-04
3,Aaron Burr,NY,Democratic-Republican,Thomas Jefferson,45,1756-02-06,1801-03-04
4,George Clinton,NY,Democratic-Republican,Thomas Jefferson,65,1739-07-26,1805-03-04
5,Elbridge Gerry,MA,Democratic-Republican,James Madison,68,1744-07-17,1813-03-04
6,Daniel D. Tompkins,NY,Democratic-Republican,James Monroe,42,1774-06-21,1817-03-04
7,John C. Calhoun,SC,Democratic-Republican,John Quincy Adams,42,1782-03-18,1825-03-04
8,Martin Van Buren,NY,Democratic,Andrew Jackson,50,1782-12-05,1833-03-04
9,Richard M. Johnson,KY,Democratic,Martin Van Buren,56,1780-10-17,1837-03-04
10,John Tyler,VA,Whig,William Henry Harrison,50,1790-03-29,1841-03-04
11,George M. Dallas,PA,Democratic,James K. Polk,52,1792-07-10,1845-03-04
12,Millard Fillmore,NY,Whig,Zachary Taylor,49,1800-01-07,1849-03-04
13,William R. King,AL,Democratic,Franklin Pierce,66,1786-04-07,1853-03-04
14,John C. Breckinridge,KY,Democratic,James Buchanan,36,1821-01-16,1857-03-04
15,Hannibal Hamlin,ME,Republican,Abraham Lincoln,51,1809-08-27,1861-03-04
16,Andrew Johnson,TN,Democratic,Abraham Lincoln,56,1808-12-29,1865-03-04
17,Schuyler Colfax,IN,Republican,Ulysses S. Grant,45,1823-03-23,1869-03-04
18,Henry Wilson,MA,Republican,Ulysses S. Grant,61,1812-02-16,1873-03-04
19,William A. Wheeler,NY,Republican,Rutherford B. Hayes,57,1819-06-30,1877-03-04
20,Chester A. Arthur,NY,Republican,James A. Garfield,51,1829-10-05,1881-03-04
21,Thomas A. Hendricks,IN,Democratic,Grover Cleveland,65,1819-09-07,1885-03-04
22,Levi P. Morton,NY,Republican,Benjamin Harrison,64,1824-05-16,1889-03-04
23,Adlai Stevenson I,IL,Democratic,Grover Cleveland,57,1835-10-23,1893-03-04
24,Garret Hobart,NJ,Republican,William McKinley,52,1844-06-03,1897-03-04
25,Theodore Roosevelt,NY,Republican,William McKinley,42,1858-10-27,1901-03-04
26,Charles W. Fairbanks,IN,Republican,Theodore Roosevelt,52,1852-05-11,1905-03-04
27,James S. Sherman,NY,Republican,William Howard Taft,53,1855-10-24,1909-03-04
28,Thomas R. Marshall,IN,Democratic,Woodrow Wilson,58,1854-03-14,1913-03-04
29,Calvin Coolidge,MA,Republican,Warren G. Harding,48,1872-07-04,1921-03-04
30,Charles G. Dawes,IL,Republican,Calvin Coolidge,59,1865-08-27,1925-03-04
31,Charles Curtis,KS,Republican,Herbert Hoover,69,1860-01-25,1929-03-04
32,John Nance Garner,TX,Democratic,Franklin D. Roosevelt,64,1868-11-22,1933-03-04
33,Henry A. Wallace,IA,Democratic,Franklin D. Roosevelt,52,1888-10-07,1941-01-20
34,Harry S. Truman,MO,Democratic,Franklin D. Roosevelt,60,1884-05-08,1945-01-20
35,Alben W. Barkley,KY,Democratic,Harry S. Truman,71,1877-11-24,1949-01-20
36,Richard Nixon,CA,Republican,Dwight D. Eisenhower,40,1913-01-09,1953-01-20
37,Lyndon B. Johnson,TX,Democratic,John F. Kennedy,52,1908-08-27,1961-01-20
38,Hubert Humphrey,MN,Democratic,Lyndon B. Johnson,53,1911-05-27,1965-01-20
39,Spiro Agnew,MD,Republican,Richard Nixon,50,1918-11-09,1969-01-20
40,Gerald Ford,MI,Republican,Richard Nixon,60,1913-07-14,1973-12-06
41,Nelson Rockefeller,NY,Republican,Gerald Ford,66,1908-07-08,1974-12-19
42,Walter Mondale,MN,Democratic,Jimmy Carter,49,1928-01-05,1977-01-20
43,George H. W. Bush,TX,Republican,Ronald Reagan,56,1924-06-12,1981-01-20
44,Dan Quayle,IN,Republican,George H. W. Bush,41,1947-02-04,1989-01-20
45,Al Gore,TN,Democratic,Bill Clinton,44,1948-03-31,1993-01-20
46,Dick Cheney,WY,Republican,George W. Bush,59,1941-01-30,2001-01-20
47,Joe Biden,DE,Democratic,Barack Obama,66,1942-11-20,2009-01-20
48,Mike Pence,IN,Republican,Donald Trump,57,1959-06-07,2017-01-20
49,Kamala Harris,CA,Democratic,Joe Biden,56,1964-10-20,2021-01-20
